emotion,tweet
Anger,"((ngaku aja)))) lah bego ngajak2 gak nder yg nganggep adek cuma anak kecil lu doang"
Anger,"[cuping marah]"
Anger,"` aku udah sabar ya. gak marah-marah atau ngata-ngatain. jangan ngelunjak."
Joy,"yukk semangat ngeba"
Joy,"yukk semangat yukk walaupun badan lagi kurang fit"
Joy,"yukk, semangat nih"
Joy,"yuuta t_____t semangat di sendai"
Love," apa yang lo suka dari suju? | semuanya, persahabatan mreka, cinta kasih mereka, kebaikan mereka, kesempurnaan mereka,& kerendahan hati mreka"
Love,":( suka banget sama pemilihan katanya, indah banget huhu"
Love,"[fakta melody] melody suka mena
Anger,"07 februari 2022, hari ter shibal bgt kenapa gitu lo di bikin jatoh di depan jalanan mana di liatin byk orang sakit sm malu nya netral 7 februari prik"
Anger,"1-10!! marah aku"
Anger,"3) jangan malu minta foto real, real pict jaminan anda cocok atau kagak. dpd dateng2 kecewa beda foto, mana jaman skr app edit foto dah jahat2!!"
Anger,"5/6 aakkkk benci kalo pulau2 kecil, ga paham"
Anger,"¼kata kasar // harsh word ¼ bismillah asu babi bajingan celek jancuk kontol monyet tai anjing ngentot goblog tolol asuu astaghfirullahalazim, maaf"
Anger,"aa kesel bgt anying. dia sudah di bandaraa, gift gue blm siap. ya allah sedih bgt gue uda gbsa nepatin janji buat meet up dari desember trs harini gbsa nganter dia ke bandara, ngasih gift jga engga!!"
Anger,"aa maaf pagi pagi malah marah marah"
Anger,"abang mantannya gemini ya? emosi kali kayaknya"
Anger,"ada banget kan paniknya lo hahhaa eh eh kenapa? kirain sakit gatauny bego"
Anger,"ada bws yg ngert tweet ku, dia ngira ak benci krna gaada moment bw tah?? ak benci krna trailernya penuh sad moments.."
Anger,"ada yang mulai sebar bacot!! pesan prabowo ke seluruh kader gerindra: jangan jauh-jauh dari ulama!"
Anger,"adaa aja yg memancing emosi pagi"
Anger,"aduh bangsat ganteng banget lagi ni orang"
Anger,"aduh benci ah last2 minit xnak hantar."
Anger,"aduhh ngtd gamau gue bales lg tp kesel ampe ubun2 lohh sini mendingan beb dm gue kasih tau lo dirumah kapan.. gue paranin trus gue jedotin:) pake bawa2 anak gue lagi lo bangsat!"
Anger,"aduhh si tolol keceplosan"
Anger,"aga emosi pengen datengin ksy terus tanyain "elo udah punya pacar beneran ga si? emosi banget, suka tmi ke anak yang ngecrush in elo, gelud kita yokk" ayo lanjut lagi pengen marah2 tapi gada hal yang mau ku marahin"
Anger,"agak kesal tp gapapa"
Anger,"ah alibi siamah, bebeja weh teu bisa nahan sange, embung coli jadi weh predator. emosi pagi pagi."
Anger,"ah itumah katanya palsu maskernya, mengecewakan"
Anger,"ah lu tolol. males bacanya"
Anger,"ahaha benar, pagi pagi sarapan saja. jangan marah marah, nanti lekas tua."
Anger,"ahahaaa khas buzzerp jokowi nuduh org mau, dituduh marah"
