tweet;emotion;Neutral,''- (10/10) gw suka jadi wanita misterius - (100/10) omg lucu banget capa ini - (8/10) ni pasti temen smp - (8,5/10) do you get deja vuu''
''- (10/10) gw suka jadi wanita misterius - (100/10) omg lucu banget capa ini - (8/10) ni pasti temen smp - (8,5/10) do you get deja vuu'';Neutral;Love,'' apa yang lo suka dari suju? | semuanya, persahabatan mreka, cinta kasih mereka, kebaikan mereka, kesempurnaan mereka,& kerendahan hati mreka''
'' apa yang lo suka dari suju? | semuanya, persahabatan mreka, cinta kasih mereka, kebaikan mereka, kesempurnaan mereka,& kerendahan hati mreka'';Love;Neutral,'' dengan majikan lewat 5 minit pun kita takut. tapi dengan allah, kita langsung tak takut. kadang-kadang solat dekat nak habis waktu. - uai''
'' dengan majikan lewat 5 minit pun kita takut. tapi dengan allah, kita langsung tak takut. kadang-kadang solat dekat nak habis waktu. - uai'';Neutral;Neutral,'' santai, gw jga gagal tdi lur. abis ini kita makan2 dah biar ga badmood''
'' santai, gw jga gagal tdi lur. abis ini kita makan2 dah biar ga badmood'';Neutral;Fear,''( kaget saat punggungnya dipukul. dia sendiri juga baru sadar langsung sebut nama. ) ..kayaknya berani deh, jun. nggak tahu, kayak .. bisa aja.''
''( kaget saat punggungnya dipukul. dia sendiri juga baru sadar langsung sebut nama. ) ..kayaknya berani deh, jun. nggak tahu, kayak .. bisa aja.'';Fear;Anger,''((ngaku aja)))) lah bego ngajak2 gak nder yg nganggep adek cuma anak kecil lu doang''
''((ngaku aja)))) lah bego ngajak2 gak nder yg nganggep adek cuma anak kecil lu doang'';Anger;"Neutral,''(untuk minato) "" jangan terlihat begitu sedih minato. aku bahagia. kebahagiaan itu karena kau mencintaiku ""''"
"''(untuk minato) "" jangan terlihat begitu sedih minato. aku bahagia. kebahagiaan itu karena kau mencintaiku ""''";Neutral;"Neutral,''* malam 1 nenek pake baju tipis. malam 2 nenek pake bikini, kakek kaget doang. malam 3 nenek telanjang bulat, kakek malah bilang, ""baju kusut kok dipake!""''"
"''* malam 1 nenek pake baju tipis. malam 2 nenek pake bikini, kakek kaget doang. malam 3 nenek telanjang bulat, kakek malah bilang, ""baju kusut kok dipake!""''";Neutral;Sad,''* mungkin hidup gue bakal bahagia kalo gue berasa orang yang menyayangi gue :'(''
''* mungkin hidup gue bakal bahagia kalo gue berasa orang yang menyayangi gue :'('';Sad;"Fear,''* sepasang muda-mudi lagi nonton bioskop. ceweknya berbisik, mas ada orang onani di sebelahku. ""cuekin saja,"" kata cowoknya. ""ngak enak mas, dia paksa pakai tanganku! takut""''"
"''* sepasang muda-mudi lagi nonton bioskop. ceweknya berbisik, mas ada orang onani di sebelahku. ""cuekin saja,"" kata cowoknya. ""ngak enak mas, dia paksa pakai tanganku! takut""''";Fear;Joy,''*the day !! seleksi daerah kompetisi matematika*,hai hai, para pejuang komet ke-18 hari ini banget loh!!,yang ditunggu-tunggu telah tiba semangat untuk peserta seleksi daerah kompetisi matematika ke-18!''
''*the day !! seleksi daerah kompetisi matematika*,hai hai, para pejuang komet ke-18 hari ini banget loh!!,yang ditunggu-tunggu telah tiba semangat untuk peserta seleksi daerah kompetisi matematika ke-18!'';Joy;Joy,'', hi pagi kakkamu udah sarapan belum?kalau belum cepet sarapan ya? jaga kesehatan dan istirahat yang cukup juga!! aku bingung mau ngetik apa lagi intinya aku cuman mau bilang kakak semangat terus yaa !! banyak yang sayang,''
'', hi pagi kakkamu udah sarapan belum?kalau belum cepet sarapan ya? jaga kesehatan dan istirahat yang cukup juga!! aku bingung mau ngetik apa lagi intinya aku cuman mau bilang kakak semangat terus yaa !! banyak yang sayang,'';Joy;Joy,'', nah gitu, kan enak. nanti gua kalo ditanya 'punya temen gak', masa jawabnya 'punya namanya badut oppo'. salken, hen. kenapa malu ya? asal halal dan menyenangkan mah gas aja kan. gua juga kalo bisa mau jadi badut oppo.,''
'', nah gitu, kan enak. nanti gua kalo ditanya 'punya temen gak', masa jawabnya 'punya namanya badut oppo'. salken, hen. kenapa malu ya? asal halal dan menyenangkan mah gas aja kan. gua juga kalo bisa mau jadi badut oppo.,'';Joy;Joy,'', salam, melv. semangat skripsiannya, lu sekarang skripsiannya buat diri lu sendiri aja cukup kalau orang tua gak nganggep apa-apa mah. tapi masih dikasih uang jajan kan?,''
'', salam, melv. semangat skripsiannya, lu sekarang skripsiannya buat diri lu sendiri aja cukup kalau orang tua gak nganggep apa-apa mah. tapi masih dikasih uang jajan kan?,'';Joy;Joy,'', wih enak kyaknya''
'', wih enak kyaknya'';Joy;Joy,'',, +,makasih buat sejauh ini, makasih udah baik bangett, udah selalu kasi support ke aku juga, udh peduli bgt sehat & bahagia selalu kalian''
'',, +,makasih buat sejauh ini, makasih udah baik bangett, udah selalu kasi support ke aku juga, udh peduli bgt sehat & bahagia selalu kalian'';Joy;Joy,'',, aaww kamu jugaa yaakk semangat dan sehat teruss lop u tuu''
'',, aaww kamu jugaa yaakk semangat dan sehat teruss lop u tuu'';Joy;Joy,'',, ayok semangat jaga kesehatan maka minum istirahat teratur dan asupan yg bergizi jgn lupa selalu bersyukur dan berdoa setiap saat alhamdulillah aamiin yaa allah yaa rabbal alamin,keren nih pak mentri bumn erick thohir semangat sehat pak,''
'',, ayok semangat jaga kesehatan maka minum istirahat teratur dan asupan yg bergizi jgn lupa selalu bersyukur dan berdoa setiap saat alhamdulillah aamiin yaa allah yaa rabbal alamin,keren nih pak mentri bumn erick thohir semangat sehat pak,'';Joy;Joy,'',, congrats,keren nih pak mentri bumn erick thohir semangat pak,''
'',, congrats,keren nih pak mentri bumn erick thohir semangat pak,'';Joy;Neutral,'',, dengan et (energi tani) semoga petani bisa membumikan semangat bertani,erick thohir''
'',, dengan et (energi tani) semoga petani bisa membumikan semangat bertani,erick thohir'';Neutral;Neutral,'',, jadi lapang terang enak ya buat jalan..''
'',, jadi lapang terang enak ya buat jalan..'';Neutral;Neutral,'',, terima kementerian bumn pak mentri bumn erick thohir yo dukung gerakan energi tani (et) untuk produk tani mandiri semangat terus pak,''
'',, terima kementerian bumn pak mentri bumn erick thohir yo dukung gerakan energi tani (et) untuk produk tani mandiri semangat terus pak,'';Neutral;Joy,'',,,kalau ini beneren kiranya kau bahagia disana bersama orang lain.''
'',,,kalau ini beneren kiranya kau bahagia disana bersama orang lain.'';Joy;Joy,'',,terimakasih saudaraku,sdh turut ramaikan.. selamat akhir pekan.. sehat dn bahagia..''
'',,terimakasih saudaraku,sdh turut ramaikan.. selamat akhir pekan.. sehat dn bahagia..'';Joy;Sad,''. . bagaimana? sudah sadar betapa lucunya kamu yang pernah bodoh untuk seseorang yang bahkan tak pernah menganggapmu? . jika sudah mari tertawa bersama, ngetawain perjuangan yang sia-sia. serta harapan fiktif dengan luka yang nyata. . .''
''. . bagaimana? sudah sadar betapa lucunya kamu yang pernah bodoh untuk seseorang yang bahkan tak pernah menganggapmu? . jika sudah mari tertawa bersama, ngetawain perjuangan yang sia-sia. serta harapan fiktif dengan luka yang nyata. . .'';Sad;Neutral,''. kaget. beneran rp thai yang cewek kayanya lama-lama bakal gak ada rpnya. itu berati bener ya soalnya fanbase sana mah official gitu.''
''. kaget. beneran rp thai yang cewek kayanya lama-lama bakal gak ada rpnya. itu berati bener ya soalnya fanbase sana mah official gitu.'';Neutral;"Joy,''. lucu banget tetangga ngira aku punya baby karna tiap pagi suka gendongin kucing cium cium. dia kira baby sampe dia nanya ""babynya umur brp mbak?"" aku malah ketawa''"
"''. lucu banget tetangga ngira aku punya baby karna tiap pagi suka gendongin kucing cium cium. dia kira baby sampe dia nanya ""babynya umur brp mbak?"" aku malah ketawa''";Joy;"Fear,''. masya allah. awalnya gue suka dengerin lagu lagu klasik gitu pas menjelang mau tidur, tapi trus temen gue bilang ""gimana kalo lu meninggal nanti disetelinnya kpop bukan al quran"" takut gue''"
"''. masya allah. awalnya gue suka dengerin lagu lagu klasik gitu pas menjelang mau tidur, tapi trus temen gue bilang ""gimana kalo lu meninggal nanti disetelinnya kpop bukan al quran"" takut gue''";Fear;Neutral,''. sabar itu keliatannya bodoh kalo dipikir pake logika :)''
''. sabar itu keliatannya bodoh kalo dipikir pake logika :)'';Neutral;Joy,''. seneng banget pagi-pagi dapat kabar bagus begini, syukurlah jiminnya army sudah sembuh. sehat selalu jimin.''
''. seneng banget pagi-pagi dapat kabar bagus begini, syukurlah jiminnya army sudah sembuh. sehat selalu jimin.'';Joy;Sad,''.. kok sedih''
''.. kok sedih'';Sad;Neutral,''..dilarang bodoh !! setujuuuuh.. selamat tinggal kebodohan, selamat datang kecerdasan siritual dalam ahlaq. aamiin..''
''..dilarang bodoh !! setujuuuuh.. selamat tinggal kebodohan, selamat datang kecerdasan siritual dalam ahlaq. aamiin..'';Neutral;Neutral,''/ina ga perlu terbeban harus menang ya, orang blnya juga panik semua di sini, jadi tenang ja''
''/ina ga perlu terbeban harus menang ya, orang blnya juga panik semua di sini, jadi tenang ja'';Neutral;Neutral,''/ju mbl mbl murah banget loochh ayo guys join go miracle, suka dr0p jajan murce rd sering open sh4ring merch juga dan sekarang lagi open tabungan buat cb bangtan baru dr0p jimin unyel nih, yuk gass join link di rep yaa''
