Tweet;Label;Tweet,Label
akibat dari telat bangun, anak ikut bangun dan dapur dan rumah tidak kepegang sampe jam segini. sedih karena berantakan, tp gppa dehh penting anak dah mandi dan kenyang dulu. alon-alon asal kelakon;Sad;akibat dari telat bangun, anak ikut bangun dan dapur dan rumah tidak kepegang sampe jam segini. sedih karena berantakan, tp gppa dehh penting anak dah mandi dan kenyang dulu. alon-alon asal kelakon,Sad
sepi;Sad;sepi,Sad
sedih dah;Sad;sedih dah,Sad
sedih emg kalo ditinggal temen ngebucin, sedih ga ada waktu main sm temen, sedih krna pengen ngebucin jg;Sad;sedih emg kalo ditinggal temen ngebucin, sedih ga ada waktu main sm temen, sedih krna pengen ngebucin jg,Sad
sedih bener niih club ya;Sad;sedih bener niih club ya,Sad
sch! soalnya di sekolah ku (jateng) kekurangan guru bangett,,banyak guru yg bukan bidangnya justru ngajar di bidang tsb,dan bahkan kepseknya juga rangkap sama sekolah lain. kl emg ini bener sedih banget,gimana generasi kedepannya :(;Sad;sch! soalnya di sekolah ku (jateng) kekurangan guru bangett,,banyak guru yg bukan bidangnya justru ngajar di bidang tsb,dan bahkan kepseknya juga rangkap sama sekolah lain. kl emg ini bener sedih banget,gimana generasi kedepannya :(,Sad
kok saya tetap sedih ya;Sad;kok saya tetap sedih ya,Sad
ya allah aku sedih kali sumpah denise hsgsfscs dari awal aku udh bad feeling tapi masih berharap gitulo paham kan;Sad;ya allah aku sedih kali sumpah denise hsgsfscs dari awal aku udh bad feeling tapi masih berharap gitulo paham kan,Sad
gk bs gmbr biar folls/ moots mengerti dan tdk kecewa dgn diriku yang tak bisa gmbr tp maksa sok gmbr;Sad;gk bs gmbr biar folls/ moots mengerti dan tdk kecewa dgn diriku yang tak bisa gmbr tp maksa sok gmbr,Sad
semoga kamu tak perlu mengenal sedih ku, semoga kau mengenal ku, yang hanya ku, dengan segala baik dan buruk ku..;Sad;semoga kamu tak perlu mengenal sedih ku, semoga kau mengenal ku, yang hanya ku, dengan segala baik dan buruk ku..,Sad
dih sepi amat;Sad;dih sepi amat,Sad
gua semalem lagi asik baca tiba tiba dia lock akun sedih bgt;Sad;gua semalem lagi asik baca tiba tiba dia lock akun sedih bgt,Sad
asli ikutan sedih banget denise out, aku suka banget suaranyaa:(;Sad;asli ikutan sedih banget denise out, aku suka banget suaranyaa:(,Sad
yuna jangan lewat tl dong, w jdi sedih lagi;Sad;yuna jangan lewat tl dong, w jdi sedih lagi,Sad
sedih baru ngeh jimin ngerayain tahun baru di rumah sakit ya;Sad;sedih baru ngeh jimin ngerayain tahun baru di rumah sakit ya,Sad
bener sih waktu itu lagi pengen nonton yg sedih-sedih langsung cus nonton ini dan berakhir mewek nangis;Sad;bener sih waktu itu lagi pengen nonton yg sedih-sedih langsung cus nonton ini dan berakhir mewek nangis,Sad
